"rhoZ","Var_eps","theta1","theta2","theta3","theta4","ATT","Method"
"0.3","0.05","-1.02009680676427","0.50969180402598","-0.251732034877794","-0.105230376940464","10.0092978665271","HW"
"0.3","0.1","-1.02188820622714","0.504215287806707","-0.252698297584167","-0.100492416553675","10.0319526132669","HW"
"0.3","0.15","-1.01929118940036","0.507483193859568","-0.249557514128397","-0.0989218710281859","10.0488536328028","HW"
"0.3","0.2","-1.02900371326107","0.511744370248044","-0.253928460610811","-0.103414220741591","10.0940055895197","HW"
"0.3","0.25","-1.02516347250194","0.515766767425218","-0.258006300273113","-0.105844720301095","10.018606693784","HW"
"0.3","0.3","-1.02855063907753","0.510307668411856","-0.259287749825015","-0.100582879036876","10.1036270794787","HW"
"0.3","0.35","-1.03846145939476","0.514464554539128","-0.25353313581149","-0.0994464399938014","10.1316258436398","HW"
"0.3","0.4","-1.03870278868968","0.520010864844292","-0.256579581344263","-0.102659539786489","10.1003925729043","HW"
"0.3","0.45","-1.04333890721504","0.519073058083897","-0.255706648371454","-0.107530290321454","10.1742390048388","HW"
"0.3","0.5","-1.04824232763188","0.525458788378167","-0.256015143753444","-0.103772198180196","10.2157504656056","HW"
