"rhoZ","Var_eps","theta1","theta2","theta3","theta4","ATT","Method"
"0.3","0","-1.01843162021217","0.508674442204631","-0.252732921622584","-0.102533778466769","10.0020048062887","BCEB"
"0.3","0.05","-1.01255617960786","0.509344843721813","-0.258038124301044","-0.1011991934125","9.73697579054327","BCEB"
"0.3","0.1","-0.986144850212828","0.510382971297409","-0.267452642503897","-0.102677990987546","9.31681610837408","BCEB"
"0.3","0.15","-0.9659463249413","0.508500024927761","-0.268950197446527","-0.106882387360108","8.70250772731052","BCEB"
"0.3","0.2","-0.952158886768838","0.51280446122876","-0.270481531995375","-0.0993078314193921","8.31364312950577","BCEB"
"0.3","0.25","-0.925080784619409","0.501068959294424","-0.27613693180438","-0.103948602302361","7.82779726911532","BCEB"
"0.3","0.3","-0.913174484908215","0.500783342918649","-0.280265559439567","-0.103474428747792","7.57102996529647","BCEB"
"0.3","0.35","-0.894978883279768","0.498338715660435","-0.287094636191803","-0.105559772084622","7.12607223236993","BCEB"
"0.3","0.4","-0.888598260635375","0.49889641532264","-0.288960077902218","-0.102082417361787","7.00709206175436","BCEB"
"0.3","0.45","-0.84681466565549","0.502573493414494","-0.298945611649445","-0.101012102699196","6.09381730753525","BCEB"
"0.3","0.5","-0.849789762834496","0.502734309172724","-0.29482576949555","-0.101021846238223","6.03023990301921","BCEB"
"0.3","0","-1.01843162029442","0.508674442233087","-0.25273292019504","-0.102533778447655","10.0020047737778","HL"
"0.3","0.05","-0.993845920669509","0.506533364206622","-0.266230805463933","-0.102333995656102","9.43739205663192","HL"
"0.3","0.1","-0.971663728000557","0.483210602257607","-0.271496647702052","-0.0981399490505658","9.04181310743136","HL"
"0.3","0.15","-1.08510886192021","0.455353914954866","-0.432449436350964","-0.237617261601591","6.98800956684908","HL"
"0.3","0.2","-1.25484326396845","0.501452483573899","-0.195300824345979","-0.154180218074905","8.33511201262174","HL"
"0.3","0.25","-1.64592952656183","0.64882936269849","-0.169556619034585","-0.0307306449822295","6.32349801160987","HL"
"0.3","0.3","-0.481186145296544","0.743304875807846","-4.01378490708562","-1.98444882808879","7.05760550526087","HL"
"0.3","0.35","-0.955820338292774","0.68738868583243","-6.66649351659636","-2.11015893681178","7.01927765260629","HL"
"0.3","0.4","-1.58711495533133","1.22919436900205","-3.83377129532606","-1.83355811969513","6.54788513789671","HL"
"0.3","0.45","-1.16549157708185","1.09402546648273","-3.91618645890901","-1.2230043969609","3.59591964444791","HL"
"0.3","0.5","-1.408379429523","0.945974688179127","-10.9465739555322","-1.72238741742287","7.22608094659759","HL"
"0.3","0","-1.01843162032003","0.508674442227253","-0.252732920188226","-0.102533778464013","10.0020047744614","HW"
"0.3","0.05","-1.02957184458559","0.513564965100279","-0.256857556860301","-0.101998845647605","10.0053601978231","HW"
"0.3","0.1","-1.08923666483984","0.512703484809788","-0.372921769223368","-0.163326225850972","10.1081350555923","HW"
"0.3","0.15","-1.05058830086951","0.470826640215612","-0.218555886182089","-0.114285114818566","10.0778751085736","HW"
"0.3","0.2","-0.993026260229539","0.480512987863032","-0.336327187402574","-0.2853431183669","10.1863044642177","HW"
"0.3","0.25","-1.44500658131446","0.101367731647082","-0.367718138017769","-0.153398601396954","10.2918302204331","HW"
"0.3","0.3","-1.7472662254533","0.214093295942114","-3.44225439130578","-0.741436497612026","10.2905166861283","HW"
"0.3","0.35","-1.07292284566617","0.437492750090245","-0.316478805601039","-0.244210034320295","10.0015746893641","HW"
"0.3","0.4","-1.15882389854278","0.46617710909731","-0.315248219166841","-0.155416829157305","10.2497910997488","HW"
"0.3","0.45","-1.37219431722928","0.391414177468887","-1.00470255157435","-0.718715722794218","9.85715601693444","HW"
"0.3","0.5","-1.24394635206692","0.154396450606707","-1.54550309163728","-0.738087944622352","10.3517148891067","HW"
