"rhoZ","Var_eps","BIAS_theta1","BIAS_theta2","BIAS_theta3","BIAS_theta4","BIAS_ATT","SD_theta1","SD_theta2","SD_theta3","SD_theta4","SD_ATT","MSE_theta1","MSE_theta2","MSE_theta3","MSE_theta4","MSE_ATT","Method"
"0.3","0.5","0.382550366987028","-0.177930748227002","-0.0379883809562709","0.00723041298211002","-5.91602748262567","0.0558092920377432","0.0482960571015706","0.0593821351555926","0.0527657281994097","0.885892678962194","0.149456345682586","0.0339895277870473","0.0049658288253402","0.00283371672223343","35.7834022079824","Naive"
"0.3","0","-0.0184316203339394","0.00867444287997721","-0.00273292039864226","-0.00253377849426348","0.0020047666130214","0.0894049711188555","0.0731760736468359","0.0698271879939358","0.0631337072727078","0.129752353300018","0.00832498024003712","0.00542462897589077","0.00487842920086262","0.00398829916245996","0.0168228566028785","CEB"
"0.3","0.05","-0.0197070024701693","0.0116982274823534","-0.00444069921363321","0.00026186199714312","0.00700869789270619","0.100618270298337","0.0775653192572142","0.0725193840892339","0.0638608710640647","0.437675789176488","0.0105022782278707","0.00614721089895098","0.00527352181711911","0.00407420121391359","0.191417658180982","CEB"
"0.3","0.1","-0.0216266258230304","0.0133124460504691","-0.0071513635298846","-0.00187358938673132","0.0434448084455781","0.0983101315356116","0.0840267397154776","0.0757864417933421","0.0654677785174392","0.607512222987324","0.0101229280250761","0.00723065371407206","0.00578898317527249","0.00428525433117454","0.370589481358794","CEB"
"0.3","0.15","-0.035081562464732","0.0169674137110589","-0.00310393027002259","-0.00459004799906577","0.0596645908807805","0.107634468167242","0.0888865343085836","0.074634781615376","0.0712262226391417","0.723745258533743","0.0128043095838742","0.00818080829345185","0.00557441465926925","0.00508917015728287","0.526843255455795","CEB"
"0.3","0.2","-0.0355065106623211","0.0197964146337228","-0.00894166625700166","-0.00411596411944733","0.0868720218594543","0.117916728312359","0.0907065485100063","0.0784747738014497","0.0678068297042335","0.836859882076894","0.0151511627604883","0.0086113482970058","0.00623208522851711","0.00461010954901696","0.707180875949473","CEB"
"0.3","0.25","-0.0381828552543568","0.0202807291862477","-0.00234039491994809","-0.00159978047941028","0.128745806571612","0.12325545072594","0.0959508202870136","0.0831647431945861","0.0687087568077424","0.937162773022917","0.0166346446628961","0.00960866133016295","0.00691493558449215","0.00471873166638572","0.893971271786637","CEB"
"0.3","0.3","-0.0402923371629778","0.0175584581146204","-0.00355207691302617","-0.00503504310670094","0.149576242474806","0.121663566349672","0.0951521906852587","0.0837213283567392","0.0726473616198264","1.05528545366292","0.0164106937875992","0.00935318490417451","0.00701486881139118","0.00529771317025783","1.13488681363672","CEB"
"0.3","0.35","-0.0382844461582468","0.025313910961186","-0.0100735078284565","0.00358057048212986","0.0731151708170277","0.130230669165776","0.0969494169435265","0.0838350916707937","0.0719661048486025","1.10041725296634","0.0184087659818181","0.0100305843443949","0.00712276983282491","0.00518676161181047","1.21505304069895","CEB"
"0.3","0.4","-0.0428127812954322","0.022383714795546","-0.00672748635395537","-0.00549953328582523","0.0953522375274787","0.135697918622197","0.11012636518817","0.0887541290413508","0.0705321679567772","1.23537747266179","0.0202284454355284","0.012616719181297","0.00791467719910952","0.00500005679632825","1.53372339166176","CEB"
"0.3","0.45","-0.0488889294916561","0.0223061851907225","-0.00317024519835635","-0.00498878826338331","0.15130188870012","0.145121369457073","0.116167808214383","0.0883527068244344","0.0759171189033941","1.25895329077106","0.0234292790880633","0.013979030603431","0.00780844505701896","0.00578253354198636","1.60627068647916","CEB"
"0.3","0.5","-0.0407032445556819","0.0251756872250523","-0.0141456028081922","-0.00247911395474788","0.119371995716026","0.151433491224374","0.12227789554842","0.0896157052131056","0.0751733955412182","1.36002610043246","0.0245659242794978","0.0155707470832643","0.00822304172502853","0.00565153436379987","1.86207099622488","CEB"
"0.3","0","-0.0184316202121748","0.00867444220463043","-0.0027329216225836","-0.00253377846676854","0.00200480628872768","0.0894049710968757","0.0731760737577157","0.0698271874506919","0.0631337071270472","0.129752339150671","0.0083249802316222","0.00542462898038553","0.00487842913176197","0.00398829914394683","0.0168228530938109","BCEB"
"0.3","0.05","-0.0201291564157171","0.011633414804176","-0.00427778911511639","0.000263399613491533","0.0160506492155896","0.100583969932632","0.0774604791328587","0.072461146678932","0.0638059991853509","0.437440401962503","0.0105122008104097","0.00612946204167057","0.00526366663996108","0.00406720370586535","0.191420374504089","BCEB"
"0.3","0.1","-0.0232679457284648","0.0130886306691587","-0.00652400614855797","-0.00187083456124311","0.0782757747174561","0.0981610372703668","0.0836267244244756","0.0755568777304777","0.0652326661679927","0.608996680532126","0.0101673509471791","0.00715774786172286","0.0057456955868324","0.00425454545660493","0.376633176849867","BCEB"
